# From MPO250194
3908 Nyx,e,2.1824,261.4636,126.3341,1.927405,0.3683365,0.45894244,59.0181,04/18.0/2013,2000,H17.3,0.15
# From MPO229080
3988 1986 LA,e,10.7680,229.8803,86.7827,1.544585,0.5134361,0.31663394,319.7906,04/18.0/2013,2000,H17.8,0.15
# From MPO216461
4015 Wilson-Harrington,e,2.7847,270.4082,91.4461,2.640555,0.2297001,0.62358958,292.6389,04/18.0/2013,2000,H15.99,0.15
# From MPO233537
4034 Vishnu,e,11.1685,157.9823,296.5790,1.059578,0.9036594,0.44407219,65.4704,04/18.0/2013,2000,H18.3,0.15
# From MPO231431
4055 Magellan,e,23.2416,164.8917,154.2487,1.820408,0.4012833,0.32602384,21.9304,04/18.0/2013,2000,H14.5,0.15
# From MPO253391
4179 Toutatis,e,0.4471,124.3493,278.7577,2.533514,0.2444101,0.63002661,37.4706,04/18.0/2013,2000,H15.30,0.10
# From MPO244216
4183 Cuno,e,6.7072,294.9318,236.2776,1.982354,0.3531281,0.63413556,133.2945,04/18.0/2013,2000,H14.4,0.15
# From MPO234865
4197 1982 TA,e,12.5724,7.2225,122.3402,2.296289,0.2832463,0.77182447,246.8045,04/18.0/2013,2000,H14.6,0.15
# From MPO236416
4257 Ubasti,e,40.7147,169.2301,278.9194,1.647095,0.4662577,0.46848751,2.6288,04/18.0/2013,2000,H15.8,0.15
# From MPO233539
4341 Poseidon,e,11.8543,108.1213,15.6222,1.835208,0.3964388,0.67955671,178.8846,04/18.0/2013,2000,H15.9,0.15
# From MPO183459
4401 Aditi,e,26.6471,22.9424,68.1159,2.581042,0.2376903,0.56493354,215.0031,04/18.0/2013,2000,H15.5,0.15
# From MPO253393
4450 Pan,e,5.5199,311.8641,291.7845,1.442318,0.5690001,0.58677191,322.2594,04/18.0/2013,2000,H17.1,0.15
# From MPO253393
4486 Mithra,e,3.0397,82.2495,168.9034,2.199661,0.3021138,0.66290610,328.3997,04/18.0/2013,2000,H15.6,0.15
# From MPO247408
4487 Pocahontas,e,16.4032,198.1619,173.8918,1.730457,0.4329751,0.29664444,77.3765,04/18.0/2013,2000,H17.4,0.15
# From MPO226153
4503 Cleobulus,e,2.5142,46.0546,76.2593,2.707300,0.2212583,0.52301815,77.4128,04/18.0/2013,2000,H15.6,0.15
# From MPO 77285
4544 Xanthus,e,14.1447,24.0230,333.7403,1.041827,0.9268530,0.25003695,62.3652,04/18.0/2013,2000,H17.1,0.15
# From MPO253394
4581 Asclepius,e,4.9164,180.3365,255.3023,1.022208,0.9536635,0.35707529,168.3465,04/18.0/2013,2000,H20.7,0.15
# From MPO247409
4587 Rees,e,24.6267,180.6111,83.8174,2.655281,0.2277920,0.51070746,92.1852,04/18.0/2013,2000,H15.3,0.15
# From MPO223194
4596 1981 QB,e,37.0941,154.3164,248.3832,2.239630,0.2940625,0.51897997,135.0538,04/18.0/2013,2000,H16.0,0.15
# From MPO250251
4660 Nereus,e,1.4319,314.4653,157.9875,1.488664,0.5426363,0.36000171,71.1949,04/18.0/2013,2000,H18.2,0.15
# From MPO226155
4688 1980 WF,e,6.3786,241.3525,213.5273,2.234890,0.2949986,0.51541173,245.8652,04/18.0/2013,2000,H19.4,0.15
# From MPO240234
4769 Castalia,e,8.8870,325.6157,121.3307,1.063415,0.8987725,0.48324198,148.3287,04/18.0/2013,2000,H16.9,0.15
# From MPO244224
4947 Ninkasi,e,15.6519,215.4739,192.8598,1.369976,0.6146593,0.16848610,83.2026,04/18.0/2013,2000,H18.0,0.15
# From MPO183459
4953 1990 MU,e,24.3912,77.7597,77.7170,1.621283,0.4774366,0.65740473,79.7544,04/18.0/2013,2000,H14.1,0.15
# From MPO240235
4954 Eric,e,17.4463,358.5364,52.4516,2.001406,0.3480978,0.44873755,326.0259,04/18.0/2013,2000,H12.6,0.15
# From MPO250255
4957 Brucemurray,e,35.0113,254.9292,97.4550,1.565414,0.5032230,0.21898413,197.0630,04/18.0/2013,2000,H14.9,0.15
# From MPO240236
5011 Ptah,e,7.4072,10.8029,105.7038,1.635684,0.4711453,0.50005285,355.2313,04/18.0/2013,2000,H16.3,0.15
# From MPO253398
5131 1990 BG,e,36.4202,110.3998,135.8133,1.486379,0.5438882,0.56931899,233.1473,04/18.0/2013,2000,H14.6,0.15
# From MPO247414
5143 Heracles,e,9.0352,309.5644,227.7120,1.833410,0.3970220,0.77214705,178.6004,04/18.0/2013,2000,H13.8,0.15
# From MPO253399
5189 1990 UQ,e,3.5816,135.3560,159.5709,1.550755,0.5103749,0.47820369,276.3306,04/18.0/2013,2000,H17.8,0.15
# From MPO226159
5201 Ferraz-Mello,e,3.2846,17.5084,114.5998,3.365121,0.1596626,0.45813299,41.7214,04/18.0/2013,2000,H14.6,0.15
# From MPO244227
5261 Eureka,e,20.2829,245.0695,95.4153,1.523516,0.5241234,0.06469366,341.2038,04/18.0/2013,2000,H16.1,0.15
# From MPO229091
5324 Lyapunov,e,19.4857,353.0682,320.1773,2.963964,0.1931500,0.61367034,18.5160,04/18.0/2013,2000,H15.5,0.15
# From MPO253400
5332 Davidaguilar,e,25.4696,142.9448,305.7832,2.163522,0.3097149,0.45672481,119.1193,04/18.0/2013,2000,H14.6,0.15
# From MPO216475
5370 Taranis,e,19.0898,177.8441,161.2140,3.332507,0.1620121,0.63410391,128.2408,04/18.0/2013,2000,H15.3,0.15
# From MPO 50331
5381 Sekhmet,e,48.9704,58.5507,37.4220,0.947449,1.0687350,0.29623914,30.4718,04/18.0/2013,2000,H16.5,0.15
# From MPO190133
5496 1973 NA,e,68.0069,101.0780,118.0788,2.433993,0.2595523,0.63659173,185.8512,04/18.0/2013,2000,H15.8,0.15
# From MPO250262
5587 1990 SB,e,18.0945,190.3739,86.2932,2.394267,0.2660390,0.54670471,68.9322,04/18.0/2013,2000,H13.8,0.15
# From MPO 41499
5590 1990 VA,e,14.1871,216.3221,34.4514,0.985568,1.0073351,0.27950261,115.5255,04/18.0/2013,2000,H19.7,0.15
# From MPO250262
5604 1992 FE,e,4.7940,311.9293,82.4887,0.926922,1.1044324,0.40522954,322.3177,04/18.0/2013,2000,H17.1,0.15
# From MPO233547
5620 Jasonwheeler,e,7.8601,128.7635,153.4323,2.158470,0.3108030,0.42337641,68.0356,04/18.0/2013,2000,H17.0,0.15
# From MPO240243
5626 1991 FE,e,3.8543,173.2845,231.4408,2.195097,0.3030564,0.45435781,7.5811,04/18.0/2013,2000,H14.2,0.15
# From MPO253402
5645 1990 SP,e,13.5093,45.7863,48.1390,1.354982,0.6248900,0.38741303,59.5808,04/18.0/2013,2000,H16.8,0.15
# From MPO253402
